"Site","Latitude","Longitude","Vegetation_IGBP","Period","Model","DOI"
"CN-Du3",42.0551,116.2809,"GRA","2009-2010","Yes","10.18140/FLX/1440210"
"CN-Ha2",37.6086,101.3269,"WET","2003-2005","No","10.18140/FLX/1440211"
"CN-HaM",37.37,101.18,"GRA","2002-2004","Yes","10.18140/FLX/1440190"
"CN-Qia",26.7414,115.0581,"ENF","2003-2005","No","10.18140/FLX/1440141"
"CN-Sw2",41.7902,111.8971,"GRA","2010-2012","No","10.18140/FLX/1440212"
"CZ-BK1",49.50208,18.53688,"ENF","2004-2014","No","10.18140/FLX/1440143"
"CZ-BK2",49.49443,18.54285,"GRA","2004-2012","No","10.18140/FLX/1440144"
"CZ-wet",49.02465,14.77035,"WET","2006-2014","Yes","10.18140/FLX/1440145"
"DE-Akm",53.86617,13.68342,"WET","2009-2014","No","10.18140/FLX/1440213"
"DE-Geb",51.09973,10.91463,"CRO","2001-2014","No","10.18140/FLX/1440146"
"DE-Gri",50.95004,13.51259,"GRA","2004-2014","No","10.18140/FLX/1440147"
"DE-Hai",51.07921,10.45217,"DBF","2000-2012","Yes","10.18140/FLX/1440148"
"DE-Kli",50.89306,13.52238,"CRO","2004-2014","Yes","10.18140/FLX/1440149"
"DE-Lkb",49.09962,13.30467,"ENF","2009-2013","No","10.18140/FLX/1440214"
"DE-Lnf",51.32822,10.3678,"DBF","2002-2012","Yes","10.18140/FLX/1440150"
"DE-Obe",50.78666,13.72129,"ENF","2008-2014","No","10.18140/FLX/1440151"
"DE-RuR",50.62191,6.30413,"GRA","2011-2014","No","10.18140/FLX/1440215"
"DE-RuS",50.86591,6.44714,"CRO","2011-2014","Yes","10.18140/FLX/1440216"
"DE-Seh",50.87062,6.44965,"CRO","2007-2010","No","10.18140/FLX/1440217"
"DE-SfN",47.80639,11.3275,"WET","2012-2014","Yes","10.18140/FLX/1440219"
"DE-Spw",51.89225,14.03369,"WET","2010-2014","Yes","10.18140/FLX/1440220"
"DE-Tha",50.96256,13.56515,"ENF","1996-2014","Yes","10.18140/FLX/1440152"
"DE-Zrk",53.87594,12.88901,"WET","2013-2014","Yes","10.18140/FLX/1440221"
"DK-Eng",55.69053,12.19175,"GRA","2005-2008","No","10.18140/FLX/1440153"
"DK-Fou",56.4842,9.58722,"CRO","2005-2005","No","10.18140/FLX/1440154"
"DK-Sor",55.48587,11.64464,"DBF","1996-2014","Yes","10.18140/FLX/1440155"
"ES-Amo",36.83361,-2.25232,"SH","2007-2012","No","10.18140/FLX/1440156"
"ES-LgS",37.09794,-2.96583,"SH","2007-2009","No","10.18140/FLX/1440225"
"ES-LJu",36.92659,-2.75212,"SH","2004-2013","No","10.18140/FLX/1440157"
"ES-Ln2",36.9695,-3.47582,"SH","2009-2009","No","10.18140/FLX/1440226"
"FI-Hyy",61.84741,24.29477,"ENF","1996-2014","Yes","10.18140/FLX/1440158"
"FI-Jok",60.8986,23.51345,"CRO","2000-2003","Yes","10.18140/FLX/1440159"
"FI-Let",60.64183,23.95952,"ENF","2009-2012","Yes","10.18140/FLX/1440227"
"FI-Lom",67.99724,24.20918,"WET","2007-2009","Yes","10.18140/FLX/1440228"
"FI-Sod",67.36239,26.63859,"ENF","2001-2014","Yes","10.18140/FLX/1440160"
"FR-Fon",48.47636,2.7801,"DBF","2005-2014","Yes","10.18140/FLX/1440161"
"FR-Gri",48.84422,1.95191,"CRO","2004-2014","No","10.18140/FLX/1440162"
"FR-LBr",44.71711,-0.7693,"ENF","1996-2008","No","10.18140/FLX/1440163"
"FR-Pue",43.7413,3.5957,"EBF","2000-2014","No","10.18140/FLX/1440164"
"GF-Guy",5.27877,-52.92486,"EBF","2004-2014","No","10.18140/FLX/1440165"
"GH-Ank",5.26854,-2.69421,"EBF","2011-2014","No","10.18140/FLX/1440229"
"GL-NuF",64.13083,-51.38611,"WET","2008-2014","No","10.18140/FLX/1440222"
"GL-ZaF",74.48143,-20.55452,"WET","2008-2011","No","10.18140/FLX/1440223"
"GL-ZaH",74.47328,-20.5503,"GRA","2000-2014","No","10.18140/FLX/1440224"
"IT-BCi",40.52375,14.95744,"CRO","2004-2014","No","10.18140/FLX/1440166"
"IT-CA1",42.38041,12.02656,"DBF","2011-2014","No","10.18140/FLX/1440230"
"IT-CA2",42.37722,12.02604,"CRO","2011-2014","No","10.18140/FLX/1440231"
"IT-CA3",42.38,12.0222,"DBF","2011-2014","No","10.18140/FLX/1440232"
"IT-Col",41.84936,13.58814,"DBF","1996-2014","Yes","10.18140/FLX/1440167"
"IT-Cp2",41.70427,12.35729,"EBF","2012-2014","No","10.18140/FLX/1440233"
"IT-Cpz",41.70525,12.37611,"EBF","1997-2009","No","10.18140/FLX/1440168"
"IT-Isp",45.81264,8.63358,"DBF","2013-2014","Yes","10.18140/FLX/1440234"
"IT-La2",45.9542,11.2853,"ENF","2000-2002","No","10.18140/FLX/1440235"
"IT-Lav",45.9562,11.28132,"ENF","2003-2014","No","10.18140/FLX/1440169"
"IT-MBo",46.01468,11.04583,"GRA","2003-2013","Yes","10.18140/FLX/1440170"
"IT-Noe",40.60618,8.15169,"SH","2004-2014","No","10.18140/FLX/1440171"
"IT-PT1",45.20087,9.06104,"DBF","2002-2004","Yes","10.18140/FLX/1440172"
"IT-Ren",46.58686,11.43369,"ENF","1998-2013","No","10.18140/FLX/1440173"
"IT-Ro1",42.40812,11.93001,"DBF","2000-2008","Yes","10.18140/FLX/1440174"
"IT-Ro2",42.39026,11.92093,"DBF","2002-2012","No","10.18140/FLX/1440175"
"IT-SR2",43.73202,10.29091,"ENF","2013-2014","No","10.18140/FLX/1440236"
"IT-SRo",43.72786,10.28444,"ENF","1999-2012","No","10.18140/FLX/1440176"
"IT-Tor",45.84444,7.57806,"GRA","2008-2014","Yes","10.18140/FLX/1440237"
"JP-MBF",44.3869,142.3186,"DBF","2003-2005","Yes","10.18140/FLX/1440238"
"JP-SMF",35.2617,137.0788,"MF","2002-2006","No","10.18140/FLX/1440239"
"MY-PSO",2.973,102.3062,"EBF","2003-2009","No","10.18140/FLX/1440240"
"NL-Hor",52.24035,5.0713,"GRA","2004-2011","Yes","10.18140/FLX/1440177"
"NL-Loo",52.16658,5.74356,"ENF","1996-2014","No","10.18140/FLX/1440178"
"PA-SPn",9.31814,-79.6346,"DBF","2007-2009","No","10.18140/FLX/1440180"
"PA-SPs",9.31378,-79.63143,"GRA","2007-2009","No","10.18140/FLX/1440179"
"RU-Che",68.61304,161.34143,"WET","2002-2005","Yes","10.18140/FLX/1440181"
"RU-Cok",70.82914,147.49428,"SH","2003-2014","No","10.18140/FLX/1440182"
"RU-Fyo",56.46153,32.92208,"ENF","1998-2014","No","10.18140/FLX/1440183"
"RU-Ha1",54.72517,90.00215,"GRA","2002-2004","Yes","10.18140/FLX/1440184"
"SD-Dem",13.2829,30.4783,"WSH","2005-2009","No","10.18140/FLX/1440186"
"SJ-Adv",78.186,15.923,"WET","2011-2014","No","10.18140/FLX/1440241"
"SJ-Blv",78.92163,11.83109,"SNOW","2008-2009","No","10.18140/FLX/1440242"
"SN-Dhr",15.40278,-15.43222,"WSH","2010-2013","No","10.18140/FLX/1440246"
"US-AR1",36.4267,-99.42,"GRA","2009-2012","No","10.18140/FLX/1440103"
"US-AR2",36.6358,-99.5975,"GRA","2009-2012","No","10.18140/FLX/1440104"
"US-ARb",35.5497,-98.0402,"GRA","2005-2006","Yes","10.18140/FLX/1440064"
"US-ARc",35.54649,-98.04,"GRA","2005-2006","Yes","10.18140/FLX/1440065"
"US-ARM",36.6058,-97.4888,"CRO","2003-2012","No","10.18140/FLX/1440066"
"US-Atq",70.4696,-157.4089,"WET","2003-2008","No","10.18140/FLX/1440067"
"US-Blo",38.8953,-120.6328,"ENF","1997-2007","No","10.18140/FLX/1440068"
"US-Cop",38.09,-109.39,"GRA","2001-2007","No","10.18140/FLX/1440100"
"US-CRT",41.628495,-83.347086,"CRO","2011-2013","No","10.18140/FLX/1440117"
"US-GBT",41.36579,-106.2397,"ENF","1999-2006","Yes","10.18140/FLX/1440118"
"US-GLE",41.36653,-106.2399,"ENF","2004-2014","Yes","10.18140/FLX/1440069"
"US-Goo",34.2547,-89.8735,"GRA","2002-2006","No","10.18140/FLX/1440070"
"US-Ha1",42.5378,-72.1715,"DBF","1991-2012","Yes","10.18140/FLX/1440071"
"US-IB2",41.84062,-88.24103,"GRA","2004-2011","Yes","10.18140/FLX/1440072"
"US-Ivo",68.4865,-155.7503,"WET","2004-2007","Yes","10.18140/FLX/1440073"
"US-KS1",28.4583,-80.6709,"ENF","2002-2002","No","10.18140/FLX/1440074"
"US-KS2",28.6086,-80.6715,"SH","2003-2006","No","10.18140/FLX/1440075"
"US-Lin",36.3566,-119.8423,"CRO","2009-2010","No","10.18140/FLX/1440107"
"US-Los",46.0827,-89.9792,"WET","2000-2014","Yes","10.18140/FLX/1440076"
"US-LWW",34.9604,-97.9789,"GRA","1997-1998","No","10.18140/FLX/1440077"
"US-Me1",44.5794,-121.5,"ENF","2004-2005","No","10.18140/FLX/1440078"
"US-Me2",44.4523,-121.5574,"ENF","2002-2014","No","10.18140/FLX/1440079"
"US-Me3",44.3154,-121.6078,"ENF","2004-2009","No","10.18140/FLX/1440080"
"US-Me4",44.4992,-121.6224,"ENF","1996-2000","No","10.18140/FLX/1440081"
"US-Me5",44.43719,-121.56676,"ENF","2000-2002","No","10.18140/FLX/1440082"
"US-Me6",44.3232842,-121.6078,"ENF","2010-2014","No","10.18140/FLX/1440099"
"US-MMS",39.3232,-86.4131,"DBF","1999-2014","Yes","10.18140/FLX/1440083"
"US-Myb",38.049861,-121.76498,"WET","2010-2014","No","10.18140/FLX/1440105"
"US-Ne1",41.16506,-96.47664,"CRO","2001-2013","No","10.18140/FLX/1440084"
"US-Ne2",41.16487,-96.4701,"CRO","2001-2013","No","10.18140/FLX/1440085"
"US-Ne3",41.17967,-96.43965,"CRO","2001-2013","No","10.18140/FLX/1440086"
"US-NR1",40.0329,-105.5464,"ENF","1998-2014","Yes","10.18140/FLX/1440087"
"US-Oho",41.5545,-83.8438,"DBF","2004-2013","Yes","10.18140/FLX/1440088"
"US-ORv",40.0201,-83.0183,"WET","2011-2011","No","10.18140/FLX/1440102"
"US-PFa",45.9459,-90.2723,"MF","1995-2014","No","10.18140/FLX/1440089"
"US-Prr",65.12367,-147.48756,"ENF","2010-2014","Yes","10.18140/FLX/1440113"
"US-SRC",31.9083,-110.8395,"SH","2008-2014","No","10.18140/FLX/1440098"
"US-SRG",31.789379,-110.827675,"GRA","2008-2014","No","10.18140/FLX/1440114"
"US-SRM",31.8214,-110.8661,"WSH","2004-2014","No","10.18140/FLX/1440090"
"US-Sta",41.3966,-106.8024,"SH","2005-2009","No","10.18140/FLX/1440115"
"US-Syv",46.242,-89.3477,"MF","2001-2014","No","10.18140/FLX/1440091"
"US-Ton",38.4316,-120.96598,"WSH","2001-2014","No","10.18140/FLX/1440092"
"US-Tw1",38.1074,-121.6469,"WET","2012-2014","No","10.18140/FLX/1440108"
"US-Tw2",38.1047,-121.6433,"CRO","2012-2013","No","10.18140/FLX/1440109"
"US-Tw3",38.1159,-121.6467,"CRO","2013-2014","No","10.18140/FLX/1440110"
"US-Tw4",38.10298,-121.6414,"WET","2013-2014","No","10.18140/FLX/1440111"
"US-Twt",38.1087204,-121.6531,"CRO","2009-2014","No","10.18140/FLX/1440106"
"US-UMB",45.5598,-84.7138,"DBF","2000-2014","Yes","10.18140/FLX/1440093"
"US-UMd",45.5625,-84.6975,"DBF","2007-2014","Yes","10.18140/FLX/1440101"
"US-Var",38.4133,-120.9507,"GRA","2000-2014","Yes","10.18140/FLX/1440094"
"US-WCr",45.8059,-90.0799,"DBF","1999-2014","Yes","10.18140/FLX/1440095"
"US-Whs",31.7438,-110.0522,"SH","2007-2014","No","10.18140/FLX/1440097"
"US-Wi0",46.618778,-91.081444,"ENF","2002-2002","Yes","10.18140/FLX/1440055"
"US-Wi1",46.730472,-91.232944,"DBF","2003-2003","Yes","10.18140/FLX/1440054"
"US-Wi2",46.686889,-91.152833,"ENF","2003-2003","No","10.18140/FLX/1440056"
"US-Wi3",46.634722,-91.098667,"DBF","2002-2004","Yes","10.18140/FLX/1440057"
"US-Wi4",46.739333,-91.16625,"ENF","2002-2005","No","10.18140/FLX/1440058"
"US-Wi5",46.653083,-91.085806,"ENF","2004-2004","Yes","10.18140/FLX/1440059"
"US-Wi6",46.624889,-91.298222,"SH","2002-2003","No","10.18140/FLX/1440060"
"US-Wi7",46.649111,-91.069278,"SH","2005-2005","No","10.18140/FLX/1440061"
"US-Wi8",46.722333,-91.252417,"DBF","2002-2002","Yes","10.18140/FLX/1440062"
"US-Wi9",46.618778,-91.081444,"ENF","2004-2005","No","10.18140/FLX/1440063"
"US-Wkg",31.7365,-109.9419,"GRA","2004-2014","No","10.18140/FLX/1440096"
"US-WPT",41.464639,-82.996157,"WET","2011-2013","No","10.18140/FLX/1440116"
"ZM-Mon",-15.4391,23.2525,"DBF","2000-2009","No","10.18140/FLX/1440189"
